"row";"column";"CdSO4-fit";"CdS-fit"
1;130;0.0526509;0.947349
1;131;0.0497483;0.950252
1;132;0.0511932;0.948807
1;133;0.0538876;0.946112
1;134;0.0557934;0.944207
1;135;0.0501214;0.949879
1;136;0.0473846;0.952615
1;137;0.0341542;0.965846
1;138;0.0254655;0.974535
1;139;0.0437192;0.956281
1;140;0;1
1;141;0;1
1;142;0.0455038;0.954496
1;143;0.0199943;0.980006
1;144;0.0209105;0.979089
1;145;0.0177405;0.982259
1;146;0.00766489;0.992335
1;147;0.0240502;0.97595
1;148;0.0565875;0.943413
1;149;0;1
1;150;0;1
1;151;0;1
1;152;0;1
1;153;0;1
1;154;0;1
1;155;0;1
1;156;0;1
1;157;0;1
1;158;0;1
1;159;0;1
1;160;0;1
1;161;0.00381537;0.996185
1;162;0.00664002;0.99336
1;163;0;1
1;164;0;1
1;165;0.0186041;0.981396
1;166;0.0281805;0.97182
1;167;0.0113047;0.988695
1;168;0.00420096;0.995799
1;169;0.000732103;0.999268
1;170;0.00247681;0.997523
1;171;0.0149839;0.985016
1;172;0.0293973;0.970603
1;173;0.0143264;0.985674
1;174;0.0148266;0.985173
1;175;0.0111415;0.988859
1;176;0.0155152;0.984485
1;177;0.0354148;0.964585
1;178;0.0408497;0.95915
1;179;0.036213;0.963787
1;180;0.0225393;0.977461
1;181;0.0275649;0.972435
1;182;0.0358172;0.964183
1;183;0.0231034;0.976897
1;184;0.0151674;0.984833
1;185;0.0145408;0.985459
1;186;0.0181014;0.981899
1;187;0.0160563;0.983944
1;188;0.014414;0.985586
1;189;0.011596;0.988404
1;190;0.00979743;0.990203
1;191;0.0190451;0.980955
1;192;0.011341;0.988659
1;193;0;1
2;0;0;0
2;1;0;0
2;2;0;0
2;3;0;0
2;4;0;0
2;5;0;0
2;6;0;0
2;7;0;0
2;8;0;0
2;9;0;0
2;10;0;0
2;11;0;0
2;12;0.0695504;0.93045
2;13;0.0623882;0.937612
2;14;0.00825372;0.991746
2;15;0;1
2;16;0;1
2;17;0;1
2;18;0;1
2;19;0;1
2;20;0;1
2;21;0;1
2;22;0;1
2;23;0;1
2;24;0;1
2;25;0;1
2;26;0;1
2;27;0;1
2;28;0;1
2;29;0.00884262;0.991157
2;30;0.0108241;0.989176
2;31;0;1
2;32;0;1
2;33;0;1
2;34;0;1
2;35;0;1
2;36;0;1
2;37;0;1
2;38;0;1
2;39;0.00897963;0.99102
2;40;0.0547605;0.94524
2;41;0;1
2;42;0;1
2;43;0;1
2;44;0.0434488;0.956551
2;45;0;1
2;46;0;1
2;47;0;1
2;48;0.0394637;0.960536
2;49;0.0311699;0.96883
2;50;0.000167164;0.999833
2;51;0;1
2;52;0;1
2;53;0.021439;0.978561
2;54;0.0094364;0.990564
2;55;0.00700865;0.992991
2;56;0.00512658;0.994873
2;57;0;1
2;58;0;1
2;59;0.0101806;0.989819
2;60;0.0397082;0.960292
2;61;0.0404271;0.959573
2;62;0.0328746;0.967125
2;63;0.00970085;0.990299
2;64;0.00469867;0.995301
2;65;0;1
2;66;0;1
2;67;0;1
2;68;0;1
2;69;0.0235354;0.976465
