"row";"column";"SD1_sampleC_S_energy_2503.5_eV.tif_D1_sampleC.TIFF_Array_53";"CdSO4-fit";"CdS-fit"
3;95;14633.1;0;1
3;96;13405.8;0;1
3;97;11966.6;0;1
3;98;11555.7;0;1
3;99;13516.6;0.00859641;0.991404
3;100;14432.1;0;1
3;101;14505.4;0;1
3;102;15219.6;0;1
3;103;14988.8;0;1
3;104;12823.1;0;1
3;105;10386;0;1
3;106;9241.64;0;1
3;107;9223.77;0;1
3;108;9725.57;0;1
3;109;9812.52;0;1
3;110;9484.06;0;1
3;111;9359.42;0.0143125;0.985688
3;112;9575.67;0;1
3;113;9345.58;0;1
3;114;7933.45;0;1
3;115;6918.34;0;1
3;116;7553.64;0;1
3;117;7462.2;0;1
3;118;8118.46;0;1
3;119;9629.49;0;1
3;120;10133.7;0;1
3;121;10388.2;0;1
3;122;10188.5;0;1
3;123;10408.9;0.0133141;0.986686
3;124;10373.4;0.00715132;0.992849
3;125;9733.51;0;1
3;126;9183.72;0;1
3;127;9439.59;0;1
3;128;9547.68;0;1
3;129;9138.76;0;1
3;130;9991.43;0;1
3;131;10742.9;0;1
3;132;10505.7;0;1
3;133;10273.8;0;1
3;134;9324.99;0;1
3;135;7876.71;0;1
3;136;7092.48;0;1
3;137;6983.36;0;1
3;138;7705.78;0;1
3;139;8329.64;0;1
3;140;8614.06;0;1
3;141;7799.44;0;1
3;142;7243.75;0;1
3;143;7986.92;0;1
3;144;8595.96;0.0052324;0.994768
3;145;9624.52;0;1
3;146;10345.8;0;1
3;147;10728.9;0;1
3;148;10761.1;0;1
3;149;10895.4;0;1
3;150;11486.3;0;1
3;151;11397.7;0;1
3;152;10858.3;0;1
3;153;10401.8;0;1
3;154;10333.4;0;1
3;155;10476.1;0;1
4;0;1254.87;0;0
4;1;1271.36;0;0
4;2;1509.54;0;0
4;3;2906.63;0.0178371;0.982163
4;4;6127.62;0.196572;0.803428
4;5;8539.95;0.0743659;0.925634
4;6;8008.47;0.0106128;0.989387
4;7;6770.76;0;1
4;8;6574.53;0.0713942;0.928606
4;9;7368.41;0.0724229;0.927577
4;10;7862.08;0.00258218;0.997418
4;11;7631.93;0.00559998;0.9944
4;12;7295.49;0.0342747;0.965725
4;13;7075.71;0;1
4;14;6732.18;0;1
4;15;5667.07;0.0263387;0.973661
4;16;4595.09;0;1
4;17;3746.73;0;1
4;18;3831.32;5.55e-17;1
4;19;4783.24;0.00568227;0.994318
